cluster,title,expected_image,expected_html,match_type,matched_file,matched_title,actual_image,expected_image_exists,image_match
A - Hospitality,Buying a Hotel in Taormina: Technical Due Diligence,ristorante-sushi-palermo.webp,buying-hotel-taormina.html,filename,buying-hotel-taormina.html,Buying a Hotel in Taormina: Technical Due Diligence Checklist,buying-hotel-taormina.webp,yes,no
A - Hospitality,Converting a Villa into a Luxury Resort: Zoning,villasulmare.webp,villa-resort-conversion-taormina.html,title:0.70,converting-a-villa-into-a-luxury-resort-zoning-laws-and-feasibility.html,Converting a Villa into a Luxury Resort: Zoning Laws and Feasibility,converting-a-villa-into-a-luxury-resort-zoning-laws-and-feasibility.webp,yes,no
A - Hospitality,The ROI of Boutique Hotels: Renovation Costs,ristorante-sushi-palermo.webp,roi-boutique-hotels-taormina.html,title:0.58,the-roi-of-boutique-hotels-in-taormina-renovation-costs-vs-room-rates.html,The ROI of Boutique Hotels in Taormina: Renovation Costs vs. Room Rates,the-roi-of-boutique-hotels-in-taormina-renovation-costs-vs-room-rates.webp,yes,no
A - Hospitality,Fire Safety Compliance for Historic Hotels (EU Standards),ristorante-sushi-palermo.webp,fire-safety-historic-hotels.html,title:0.89,fire-safety-compliance-for-historic-hotels-eu-standards-explained.html,Fire Safety Compliance for Historic Hotels: EU Standards Explained,fire-safety-compliance-for-historic-hotels-eu-standards-explained.webp,yes,no
A - Hospitality,Adding a Spa to Your Hotel: Excavation in Rock,wine-cellar-sicilia.webp,adding-spa-hotel-excavation.html,title:0.90,adding-a-spa-to-your-hotel-excavation-challenges-in-rock.html,Adding a Spa to Your Hotel: Excavation Challenges in Rock,adding-a-spa-to-your-hotel-excavation-challenges-in-rock.webp,yes,no
A - Hospitality,Rooftop Bars with Etna View: Structural Loads,interni-villa-a-partanna-di-sera.webp,rooftop-bars-structural-loads.html,title:0.78,rooftop-bars-with-etna-view-structural-loads-and-licensing.html,Rooftop Bars with Etna View: Structural Loads and Licensing,rooftop-bars-with-etna-view-structural-loads-and-licensing.webp,no,no
A - Hospitality,Buying Beachfront Property (Mazzarò): Maritime Laws,villasulmare.webp,buying-beachfront-mazzaro.html,title:0.86,buying-beachfront-property-mazzaro-maritime-domain-laws.html,Buying Beachfront Property (Mazzarò): Maritime Domain Laws,buying-beachfront-property-mazzaro-maritime-domain-laws.webp,yes,no
A - Hospitality,Project Management for Absentee Investors,ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,project-management-absentee-investors.html,title:0.50,project-management-for-absentee-investors-how-we-control-the-site.html,Project Management for Absentee Investors: How We Control the Site,project-management-for-absentee-investors-how-we-control-the-site.webp,yes,no
A - Hospitality,Luxury Concierge Spaces: Designing Lobbies,interni-villa-a-partanna-di-sera.webp,luxury-concierge-design.html,title:0.62,luxury-concierge-spaces-designing-lobbies-and-staff-areas.html,Luxury Concierge Spaces: Designing Lobbies and Staff Areas,luxury-concierge-spaces-designing-lobbies-and-staff-areas.webp,no,no
A - Hospitality,Acoustic Privacy in High-End Hotels,interni-loft.webp,acoustic-privacy-hotels.html,title:0.67,acoustic-privacy-in-high-end-hotels-soundproofing-historic-walls.html,Acoustic Privacy in High-End Hotels: Soundproofing Historic Walls,acoustic-privacy-in-high-end-hotels-soundproofing-historic-walls.webp,yes,no
B - Retail,Opening a Luxury Boutique on Corso Umberto: Permits,ristorante-sushi-palermo.webp,opening-luxury-boutique-taormina.html,title:0.80,opening-a-luxury-boutique-on-corso-umberto-permits-and-timing.html,Opening a Luxury Boutique on Corso Umberto: Permits and Timing,opening-a-luxury-boutique-on-corso-umberto-permits-and-timing.webp,yes,no
B - Retail,Renovating Heritage Shops: Preserving Facade,dettagli-esterni-villa-rivestimento-corten.webp,renovating-heritage-shops.html,title:0.56,renovating-heritage-shops-preserving-the-facade-while-modernizing-interiors.html,Renovating Heritage Shops: Preserving the Facade while Modernizing Interiors,renovating-heritage-shops-preserving-the-facade-while-modernizing-interiors.webp,yes,no
